"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2025","292.81","292.09","294.59","290.95","2.63M","-0.48%"
"06/16/2025","294.22","290.93","296.45","290.02","2.31M","2.23%"
"06/13/2025","287.79","292.55","293.33","286.15","3.41M","-3.42%"
"06/12/2025","297.99","296.67","298.58","294.00","1.60M","-0.37%"
"06/11/2025","299.10","300.18","303.39","298.65","2.01M","-0.14%"
"06/10/2025","299.52","301.70","301.78","298.00","2.05M","-0.68%"
"06/09/2025","301.56","303.79","303.79","299.58","2.10M","-0.30%"
"06/06/2025","302.47","300.29","303.50","299.23","2.10M","2.20%"
"06/05/2025","295.96","296.50","298.50","294.14","1.70M","0.01%"
"06/04/2025","295.93","297.81","298.65","295.80","1.84M","-0.49%"
"06/03/2025","297.39","295.20","298.25","292.65","2.20M","0.70%"
"06/02/2025","295.33","292.35","295.74","290.33","1.75M","0.44%"
"05/30/2025","294.05","294.97","295.75","291.63","5.25M","-0.45%"
"05/29/2025","295.38","296.26","296.61","292.80","2.36M","0.69%"
"05/28/2025","293.36","293.46","295.38","292.38","1.68M","-0.14%"
"05/27/2025","293.76","290.53","293.86","288.15","2.60M","2.99%"
